School,School URL,District,District URL,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
Mullin Accelerated Program San Saba,https://www.schooldigger.com/go/TX/schools/3192013057/school.aspx,Mullin Independent School District,https://www.schooldigger.com/go/TX/district/31920/search.aspx,San Saba,https://www.schooldigger.com/go/TX/city/San+Saba/search.aspx,76877,San Saba,(325) 985-3374,11,12,No,No,No,Yes,102,6,17,0.97,0.26,0,0,0.43,0,0.01,0.3,5.2
Evolution Academy Charter School,https://www.schooldigger.com/go/TX/schools/0023609188/school.aspx,Evolution Academy Charter School,https://www.schooldigger.com/go/TX/district/00236/search.aspx,Richardson,https://www.schooldigger.com/go/TX/city/Richardson/search.aspx,75081,Dallas,(972) 907-3755,9,12,Yes,Yes,No,No,516,19,27.1,0.49,0.41,0.01,0.01,0.45,0.01,0.01,0.1,5.2
Hall Center For Education,https://www.schooldigger.com/go/TX/schools/0771012521/school.aspx,Aldine Independent School District,https://www.schooldigger.com/go/TX/district/07710/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77032,Harris,(281) 985-7446,9,12,Yes,No,No,Yes,238,27,8.8,0.76,0.44,0,0.01,0.53,0,0,0.02,5.1
Winfree Academy Charter School (Irving),https://www.schooldigger.com/go/TX/schools/0020208756/school.aspx,Winfree Academy Charter Schools,https://www.schooldigger.com/go/TX/district/00202/search.aspx,Irving,https://www.schooldigger.com/go/TX/city/Irving/search.aspx,75038,Dallas,(972) 251-2010,9,12,No,Yes,No,Yes,149,9,16.5,0.72,0.28,0.02,0.02,0.47,0,0.01,0.2,5.1
Letot Campus,https://www.schooldigger.com/go/TX/schools/0009312005/school.aspx,Academy For Academic Excellence,https://www.schooldigger.com/go/TX/district/00093/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75220,Dallas,(214) 956-2036,6,12,Yes,Yes,No,Yes,31,2,15.5,0.9,0.45,0,0,0.45,0,0,0.1,5.1
Hereford Center For Accelerated Learning,https://www.schooldigger.com/go/TX/schools/2301013100/school.aspx,Hereford Independent School District,https://www.schooldigger.com/go/TX/district/23010/search.aspx,Hereford,https://www.schooldigger.com/go/TX/city/Hereford/search.aspx,79045,Deaf Smith,(806) 363-7720,6,12,No,No,No,No,62,10,6.2,0.77,0.03,0,0,0.9,0,0,0.07,5.1
Hope High School,https://www.schooldigger.com/go/TX/schools/1248007199/school.aspx,Calhoun County Independent School District,https://www.schooldigger.com/go/TX/district/12480/search.aspx,Port Lavaca,https://www.schooldigger.com/go/TX/city/Port+Lavaca/search.aspx,77979,Calhoun,(361) 552-7084,9,12,No,No,No,No,26,5,5.2,0.81,0,0,0,0.69,0,0,0.31,5.1
Lone Star H S Central,https://www.schooldigger.com/go/TX/schools/0143209576/school.aspx,Texas Juvenile Justice Department,https://www.schooldigger.com/go/TX/district/01432/search.aspx,Mart,https://www.schooldigger.com/go/TX/city/Mart/search.aspx,76664,McLennan,(254) 297-5716,9,12,No,No,No,No,201,,,0.99,0.35,0,0,0.4,0,0.03,0.22,5.1
Fort Worth Can Academy - Campus Drive,https://www.schooldigger.com/go/TX/schools/0001608908/school.aspx,Texans Can Academies,https://www.schooldigger.com/go/TX/district/00016/search.aspx,Fort Worth,https://www.schooldigger.com/go/TX/city/Fort+Worth/search.aspx,76119,Tarrant,(817) 531-3223,9,12,Yes,Yes,No,Yes,396,17,23.2,0.94,0.37,0,0,0.59,0,0.01,0.04,5.1
Gateway Academy-Townlake Charter High School,https://www.schooldigger.com/go/TX/schools/0017408403/school.aspx,Gateway Academy Charter District,https://www.schooldigger.com/go/TX/district/00174/search.aspx,Laredo,https://www.schooldigger.com/go/TX/city/Laredo/search.aspx,78041,Webb,(956) 722-0747,9,12,Yes,Yes,No,Yes,239,11,21.7,0.93,0.01,0,0,0.99,0,0,0,5.1
Lubbock County Juvenile Justice Center,https://www.schooldigger.com/go/TX/schools/2850008328/school.aspx,Lubbock Independent School District,https://www.schooldigger.com/go/TX/district/28500/search.aspx,Lubbock,https://www.schooldigger.com/go/TX/city/Lubbock/search.aspx,79415,Lubbock,(806) 744-8682,5,12,Yes,No,No,Yes,57,10,5.7,0.37,0.33,0,0,0.56,0,0.02,0.09,5.1
Houston School,https://www.schooldigger.com/go/TX/schools/3507006966/school.aspx,Plainview Independent School District,https://www.schooldigger.com/go/TX/district/35070/search.aspx,Plainview,https://www.schooldigger.com/go/TX/city/Plainview/search.aspx,79072,Hale,(806) 293-6010,9,12,Yes,No,No,Yes,78,14,5.5,0.8,0.03,0.01,0,0.73,0.01,0.01,0.21,5
Hidalgo County Boot Camp,https://www.schooldigger.com/go/TX/schools/4496008660/school.aspx,Weslaco Independent School District,https://www.schooldigger.com/go/TX/district/44960/search.aspx,Weslaco,https://www.schooldigger.com/go/TX/city/Weslaco/search.aspx,78596,Hidalgo,(956) 969-4908,8,12,No,No,No,Yes,26,2,13,0,0,0,0,1,0,0,0,5
Richard Milburn Alter H S (Killeen),https://www.schooldigger.com/go/TX/schools/0007508097/school.aspx,Richard Milburn Alter High School (Killeen),https://www.schooldigger.com/go/TX/district/00075/search.aspx,Killeen,https://www.schooldigger.com/go/TX/city/Killeen/search.aspx,76541,Bell,(254) 634-4444,9,12,Yes,Yes,No,No,137,7,19.5,0.76,0.42,0.01,0.02,0.2,0.02,0.06,0.27,5
Zapata High School,https://www.schooldigger.com/go/TX/schools/4671005351/school.aspx,Zapata County Independent School District,https://www.schooldigger.com/go/TX/district/46710/search.aspx,Zapata,https://www.schooldigger.com/go/TX/city/Zapata/search.aspx,78076,Zapata,(956) 765-0280,9,12,Yes,No,No,No,975,64,15.2,0.75,0,0,0,0.99,0,0,0.01,5
Texas School For The Deaf,https://www.schooldigger.com/go/TX/schools/0025309537/school.aspx,Texas School For The Deaf,https://www.schooldigger.com/go/TX/district/00253/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78704,Travis,(512) 462-5353,PK,12,Yes,No,No,No,530,,,0.74,0.14,0.02,0.04,0.33,0,0.02,0.46,5
College Career Technology Academy (Ccta),https://www.schooldigger.com/go/TX/schools/1830005464/school.aspx,El Paso Independent School District,https://www.schooldigger.com/go/TX/district/18300/search.aspx,El Paso,https://www.schooldigger.com/go/TX/city/El+Paso/search.aspx,79930,El Paso,(915) 545-5960,8,12,Yes,No,No,Yes,352,36,9.7,0.61,0.02,0,0,0.94,0,0.01,0.03,5
South Palm Gardens High School,https://www.schooldigger.com/go/TX/schools/4496004795/school.aspx,Weslaco Independent School District,https://www.schooldigger.com/go/TX/district/44960/search.aspx,Mercedes,https://www.schooldigger.com/go/TX/city/Mercedes/search.aspx,78570,Hidalgo,(956) 565-0404,9,12,No,No,No,Yes,93,7,13.2,0.74,0,0,0,1,0,0,0,4.9
El Paso Academy West,https://www.schooldigger.com/go/TX/schools/0020510632/school.aspx,El Paso Academy,https://www.schooldigger.com/go/TX/district/00205/search.aspx,El Paso,https://www.schooldigger.com/go/TX/city/El+Paso/search.aspx,79932,El Paso,(915) 845-7997,9,12,Yes,Yes,No,Yes,225,14,16,0.55,0.01,0,0,0.92,0,0,0.07,4.9
Lone Star H S Southeast,https://www.schooldigger.com/go/TX/schools/0143208968/school.aspx,Texas Juvenile Justice Department,https://www.schooldigger.com/go/TX/district/01432/search.aspx,Giddings,https://www.schooldigger.com/go/TX/city/Giddings/search.aspx,78942,Lee,(979) 542-4522,8,12,No,No,No,Yes,207,,,0.99,0.44,0,0.01,0.36,0,0.01,0.19,4.9
3d Academy,https://www.schooldigger.com/go/TX/schools/1739012205/school.aspx,Donna Independent School District,https://www.schooldigger.com/go/TX/district/17390/search.aspx,Donna,https://www.schooldigger.com/go/TX/city/Donna/search.aspx,78537,Hidalgo,(956) 464-1254,12,12,Yes,No,No,Yes,87,7,12.4,0.85,0,0,0,1,0,0,0,4.9
Azleway - Big Sandy,https://www.schooldigger.com/go/TX/schools/0025913178/school.aspx,Trinity Charter School,https://www.schooldigger.com/go/TX/district/00259/search.aspx,Big Sandy,https://www.schooldigger.com/go/TX/city/Big+Sandy/search.aspx,75755,Upshur,(512) 459-1000,KG,12,No,Yes,No,No,40,6,6.6,0.93,0.23,0,0,0.18,0,0,0.6,4.9
Lamesa Success Academy,https://www.schooldigger.com/go/TX/schools/2661011877/school.aspx,Lamesa Independent School District,https://www.schooldigger.com/go/TX/district/26610/search.aspx,Lamesa,https://www.schooldigger.com/go/TX/city/Lamesa/search.aspx,79331,Dawson,(806) 872-5410,9,12,Yes,No,No,Yes,26,2,13,0.62,0.04,0,0,0.85,0,0,0.12,4.9
Endeavor High School-Joe Frank Campbell Learning Center,https://www.schooldigger.com/go/TX/schools/1359001144/school.aspx,Channelview Independent School District,https://www.schooldigger.com/go/TX/district/13590/search.aspx,Channelview,https://www.schooldigger.com/go/TX/city/Channelview/search.aspx,77530,Harris,(281) 457-0086,9,12,Yes,No,No,No,134,8,16.7,0.81,0.06,0.02,0.04,0.78,0,0.01,0.1,4.8
North Texas State Hospital - Afp - Vernon,https://www.schooldigger.com/go/TX/schools/4411006493/school.aspx,Vernon Independent School District,https://www.schooldigger.com/go/TX/district/44110/search.aspx,Vernon,https://www.schooldigger.com/go/TX/city/Vernon/search.aspx,76384,Wilbarger,(940) 552-9901,6,12,No,No,No,No,70,5,14,0.17,0.23,0.01,0,0.27,0,0.03,0.46,4.8
Matthews Learning Center/New Directions,https://www.schooldigger.com/go/TX/schools/2850007030/school.aspx,Lubbock Independent School District,https://www.schooldigger.com/go/TX/district/28500/search.aspx,Lubbock,https://www.schooldigger.com/go/TX/city/Lubbock/search.aspx,79415,Lubbock,(806) 216-2600,8,12,Yes,No,No,Yes,175,16,10.9,0.45,0.22,0.01,0.01,0.65,0,0.01,0.11,4.7
Midvalley Academy-Mercedes Charter High School,https://www.schooldigger.com/go/TX/schools/0013308280/school.aspx,Midvalley Academy Charter District,https://www.schooldigger.com/go/TX/district/00133/search.aspx,Mercedes,https://www.schooldigger.com/go/TX/city/Mercedes/search.aspx,78570,Hidalgo,(956) 565-5417,9,12,Yes,Yes,No,No,86,6,14.3,0.87,0,0,0,0.98,0,0,0.02,4.7
Lone Star H S East Central,https://www.schooldigger.com/go/TX/schools/0143209002/school.aspx,Texas Juvenile Justice Department,https://www.schooldigger.com/go/TX/district/01432/search.aspx,Mart,https://www.schooldigger.com/go/TX/city/Mart/search.aspx,76664,McLennan,(254) 297-5716,8,12,No,No,No,No,53,,,0.94,0.36,0,0,0.38,0,0,0.26,4.7
Richard Milburn Academy Corpus Christi,https://www.schooldigger.com/go/TX/schools/0007508344/school.aspx,Richard Milburn Alter High School (Killeen),https://www.schooldigger.com/go/TX/district/00075/search.aspx,Corpus Christi,https://www.schooldigger.com/go/TX/city/Corpus+Christi/search.aspx,78411,Nueces,(361) 225-4424,9,12,(n/a),Yes,(n/a),No,295,,,0.66,0.02,0.01,0.01,0.76,0,0.01,0.2,4.7
Mercedes Academic Academy,https://www.schooldigger.com/go/TX/schools/3025006996/school.aspx,Mercedes Independent School District,https://www.schooldigger.com/go/TX/district/30250/search.aspx,Mercedes,https://www.schooldigger.com/go/TX/city/Mercedes/search.aspx,78570,Hidalgo,(956) 514-5076,9,12,Yes,No,No,No,92,10,9.2,0.75,0,0,0,1,0,0,0,4.7
Medlock Youth Village,https://www.schooldigger.com/go/TX/schools/0009312112/school.aspx,Academy For Academic Excellence,https://www.schooldigger.com/go/TX/district/00093/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75241,Dallas,(972) 225-9735,6,12,Yes,Yes,No,No,116,13,8.9,0.97,0.58,0,0,0.33,0,0.01,0.09,4.7
Austin Can Academy,https://www.schooldigger.com/go/TX/schools/0001609410/school.aspx,Texans Can Academies,https://www.schooldigger.com/go/TX/district/00016/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78702,Travis,(512) 477-4226,9,12,Yes,Yes,No,No,307,18,17,0.96,0.13,0,0.04,0.83,0,0,0.01,4.6
The Mary Catherine Harris School-School Of Choice,https://www.schooldigger.com/go/TX/schools/1179011886/school.aspx,Bryan Independent School District,https://www.schooldigger.com/go/TX/district/11790/search.aspx,Bryan,https://www.schooldigger.com/go/TX/city/Bryan/search.aspx,77802,Brazos,(979) 209-2811,9,12,Yes,No,No,Yes,279,21,13.2,0.74,0.25,0,0.01,0.6,0,0,0.14,4.6
Raven School,https://www.schooldigger.com/go/TX/schools/0004808075/school.aspx,Raven School,https://www.schooldigger.com/go/TX/district/00048/search.aspx,New Waverly,https://www.schooldigger.com/go/TX/city/New+Waverly/search.aspx,77358,Walker,(936) 344-7235,9,12,Yes,Yes,No,Yes,72,9,8,0.96,0.28,0,0,0.36,0,0.03,0.33,4.6
Salazar Crossroads Academy,https://www.schooldigger.com/go/TX/schools/3744013203/school.aspx,Robstown Independent School District,https://www.schooldigger.com/go/TX/district/37440/search.aspx,Robstown,https://www.schooldigger.com/go/TX/city/Robstown/search.aspx,78380,Nueces,(361) 767-6600,9,12,No,No,No,Yes,42,3,14,0.83,0,0,0,1,0,0,0,4.6
Middle College H S At Hcc Gulfton,https://www.schooldigger.com/go/TX/schools/2364013076/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77081,Harris,(713) 662-2551,9,12,Yes,No,No,No,139,7,19.8,0.6,0.25,0.01,0.01,0.66,0,0.01,0.07,4.5
Fred W Edwards Academy Aec,https://www.schooldigger.com/go/TX/schools/4233012581/school.aspx,Temple Independent School District,https://www.schooldigger.com/go/TX/district/42330/search.aspx,Temple,https://www.schooldigger.com/go/TX/city/Temple/search.aspx,76504,Bell,(254) 215-6944,9,12,Yes,No,No,No,88,6,14.6,0.73,0.27,0.01,0,0.42,0,0.02,0.27,4.5
Houston Can Academy - North,https://www.schooldigger.com/go/TX/schools/0001607910/school.aspx,Texans Can Academies,https://www.schooldigger.com/go/TX/district/00016/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77009,Harris,(713) 659-4229,9,12,Yes,Yes,No,No,432,18,24,0.97,0.55,0,0,0.43,0,0.01,0.01,4.5
Mesa High School,https://www.schooldigger.com/go/TX/schools/4554008377/school.aspx,White Settlement Independent School District,https://www.schooldigger.com/go/TX/district/45540/search.aspx,White Settlement,https://www.schooldigger.com/go/TX/city/White+Settlement/search.aspx,76108,Tarrant,(817) 367-1237,9,12,Yes,No,No,Yes,53,11,4.8,0.57,0.06,0,0,0.38,0,0.06,0.51,4.5
Manor Excel Academy,https://www.schooldigger.com/go/TX/schools/2889007141/school.aspx,Manor Independent School District,https://www.schooldigger.com/go/TX/district/28890/search.aspx,Manor,https://www.schooldigger.com/go/TX/city/Manor/search.aspx,78653,Travis,(512) 278-4850,9,12,Yes,No,No,No,119,13,9.1,0.98,0.26,0.02,0.01,0.63,0,0,0.08,4.5
Peter E Hyland Center,https://www.schooldigger.com/go/TX/schools/2115006974/school.aspx,Goose Creek Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/21150/search.aspx,Baytown,https://www.schooldigger.com/go/TX/city/Baytown/search.aspx,77520,Harris,(281) 420-4555,10,12,Yes,No,No,Yes,167,19,8.7,0.66,0.16,0,0,0.67,0.01,0.02,0.15,4.5
Horton Disciplinary Alternative Education Program,https://www.schooldigger.com/go/TX/schools/4496009634/school.aspx,Weslaco Independent School District,https://www.schooldigger.com/go/TX/district/44960/search.aspx,Weslaco,https://www.schooldigger.com/go/TX/city/Weslaco/search.aspx,78596,Hidalgo,(956) 969-6916,6,12,Yes,No,No,No,83,8,10.3,0.8,0,0,0,1,0,0,0,4.5
Cooper Academy,https://www.schooldigger.com/go/TX/schools/3873012224/school.aspx,San Antonio Independent School District,https://www.schooldigger.com/go/TX/district/38730/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78207,Bexar,(210) 226-3042,9,12,Yes,No,No,Yes,148,8,18.5,0.86,0.07,0.01,0.01,0.89,0,0.01,0.01,4.5
Richard Milburn Academy Fort Worth,https://www.schooldigger.com/go/TX/schools/0007509507/school.aspx,Richard Milburn Alter High School (Killeen),https://www.schooldigger.com/go/TX/district/00075/search.aspx,Fort Worth,https://www.schooldigger.com/go/TX/city/Fort+Worth/search.aspx,76116,Tarrant,(817) 731-7627,9,12,(n/a),Yes,(n/a),No,169,,,0.81,0.39,0,0,0.4,0,0.03,0.18,4.4
Crosswinds High School,https://www.schooldigger.com/go/TX/schools/2142012100/school.aspx,Grand Prairie Independent School District,https://www.schooldigger.com/go/TX/district/21420/search.aspx,Grand Prairie,https://www.schooldigger.com/go/TX/city/Grand+Prairie/search.aspx,75050,Dallas,(972) 522-2950,9,12,Yes,No,No,No,299,15,19.9,0.55,0.15,0.01,0,0.7,0,0.01,0.13,4.4
Travis County Juvenile Detention Center,https://www.schooldigger.com/go/TX/schools/0894009077/school.aspx,Austin Independent School District,https://www.schooldigger.com/go/TX/district/08940/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78704,Travis,(512) 414-2554,6,12,No,No,No,No,58,7,8.2,0.59,0.29,0,0,0.64,0,0,0.07,4.3
Harris County Juvenile Detention Center,https://www.schooldigger.com/go/TX/schools/0004907909/school.aspx,Excel Academy,https://www.schooldigger.com/go/TX/district/00049/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77002,Harris,(713) 222-4354,5,12,Yes,Yes,No,Yes,210,15,14,0.99,0.56,0,0,0.35,0,0.02,0.07,4.3
Burnett-Bayland Rehabilitation Center,https://www.schooldigger.com/go/TX/schools/0004908230/school.aspx,Excel Academy,https://www.schooldigger.com/go/TX/district/00049/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77081,Harris,(713) 222-4429,6,12,Yes,Yes,No,No,125,11,11.3,0.98,0.42,0.01,0,0.43,0,0,0.14,4.2
Reach High School,https://www.schooldigger.com/go/TX/schools/1317007121/school.aspx,Castleberry Independent School District,https://www.schooldigger.com/go/TX/district/13170/search.aspx,Fort Worth,https://www.schooldigger.com/go/TX/city/Fort+Worth/search.aspx,76114,Tarrant,(817) 252-2390,9,12,Yes,No,No,No,46,5,9.2,0.91,0.04,0,0,0.63,0,0,0.33,4.2
Frank M Tejeda Academy,https://www.schooldigger.com/go/TX/schools/2247005946/school.aspx,Harlandale Independent School District,https://www.schooldigger.com/go/TX/district/22470/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78221,Bexar,(210) 989-4900,9,12,Yes,No,No,Yes,194,18,10.7,0.72,0,0,0,0.97,0,0.01,0.03,4.1
Sau Campus,https://www.schooldigger.com/go/TX/schools/0009312001/school.aspx,Academy For Academic Excellence,https://www.schooldigger.com/go/TX/district/00093/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75203,Dallas,(214) 860-4370,6,12,Yes,Yes,No,No,49,4,12.2,0.94,0.12,0,0.02,0.82,0,0,0.04,4.1
Linda Tutt High School,https://www.schooldigger.com/go/TX/schools/3918007869/school.aspx,Sanger Independent School District,https://www.schooldigger.com/go/TX/district/39180/search.aspx,Sanger,https://www.schooldigger.com/go/TX/city/Sanger/search.aspx,76266,Denton,(940) 458-5701,9,12,Yes,No,No,Yes,25,4,6.2,0.48,0,0,0,0.24,0,0,0.76,4.1
Mary E Smithey Pace High School,https://www.schooldigger.com/go/TX/schools/1764003679/school.aspx,Duncanville Independent School District,https://www.schooldigger.com/go/TX/district/17640/search.aspx,Duncanville,https://www.schooldigger.com/go/TX/city/Duncanville/search.aspx,75116,Dallas,(972) 708-2470,10,12,No,No,No,Yes,112,11,10.1,0.71,0.33,0,0.01,0.62,0,0,0.05,4.1
Paul A Brown Alternative Center,https://www.schooldigger.com/go/TX/schools/0967007976/school.aspx,Beaumont Independent School District,https://www.schooldigger.com/go/TX/district/09670/search.aspx,Beaumont,https://www.schooldigger.com/go/TX/city/Beaumont/search.aspx,77706,Jefferson,(409) 617-5720,9,12,Yes,No,No,No,112,13,8.6,0.75,0.73,0.01,0.01,0.2,0,0.03,0.03,4.1
Dallas Can Academy - Grant East,https://www.schooldigger.com/go/TX/schools/0001612961/school.aspx,Texans Can Academies,https://www.schooldigger.com/go/TX/district/00016/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75241,Dallas,(214) 944-1985,9,12,Yes,Yes,No,No,149,15,9.9,0.95,0.76,0,0,0.24,0,0,0.01,4.1
